entry_function,keyword,file
run,run,E:\football_v\00_System_OS\File_Manager\duplicate\duplicate_detector_v11.py
run,run,E:\football_v\00_System_OS\File_Manager\lifecycle\lifecycle_engine.py
run,run,E:\football_v\00_System_OS\File_Manager\version\version_manager.py
main,main,E:\football_v\00_System_OS\Recovery\recovery_controller.py
run,run,E:\football_v\00_System_OS\RELEASE_VALIDATION\dependency_checker\dependency_checker_V1.0.py
run,run,E:\football_v\00_System_OS\RELEASE_VALIDATION\integrity_checker\integrity_checker_V1.0.py
main,main,E:\football_v\00_System_OS\scripts\framework_initializer.py
main,main,E:\football_v\00_SYSTEM_TOOLS\deploy_scripts\deploy_phase3_2_memory_bridge.py
run,run,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\core\deployment_engine.py
deploy_start,start,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.3_V1.4.py
deploy_start,start,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.5_V1.6.py
deploy_start,start,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.7_V1.8.py
create_multi_cycle_learning_engine,engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.7_V1.8.py
create_evolution_intelligence_engine,engine,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V1.7_V1.8.py
deploy_start,start,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.1_V2.2_BATCH.py
deploy_start,start,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.3_V2.4_BATCH.py
deploy_start,start,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.5_V2.6_BATCH.py
deploy_start,start,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.7_V2.8_BATCH.py
run_test,run,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.7_V2.8_BATCH.py
deploy_start,start,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.9_V3.0_BATCH.py
run_test,run,E:\football_v\00_SYSTEM_TOOLS\Module_Deployment_Tool\modules\deploy_ai_autonomous_engine_HIL_V2.9_V3.0_BATCH.py
run,run,E:\football_v\01_Data_Source\monitor\source_monitor.py
run,run,E:\football_v\02_Data_Platform\pipeline\data_pipeline.py
execute,execute,E:\football_v\02_Data_Platform\raw\raw_manager.py
run,run,E:\football_v\04_Data_Processing_AI\feature_store\feature_pipeline.py
run,run,E:\football_v\04_Data_Processing_AI\feature_store\feature_pipeline_runner.py
start,start,E:\football_v\05_MODEL_AI\MODEL_LAYER\model_runtime.py
run,run,E:\football_v\05_MODEL_AI\MODEL_LAYER\backtest\backtest_engine.py
start,start,E:\football_v\06_PREDICTION_ENGINE\prediction_runtime.py
run,run,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\real_probability_engine\probability_service.py
run,run,E:\football_v\06_PREDICTION_INTELLIGENCE_ENGINE\score_probability_engine\score_service.py
execute,execute,E:\football_v\07_AI_ORCHESTRATION_LAYER\orchestration_core\orchestrator.py
run,run,E:\football_v\07_AI_ORCHESTRATION_LAYER\orchestration_core\pipeline_manager.py
run,run,E:\football_v\07_BACKTEST_AI\backtest_engine.py
execute,execute,E:\football_v\07_BACKTEST_AI\backtest_runner.py
run,run,E:\football_v\07_BACKTEST_SYSTEM\backtest_engine\backtest_engine.py
run,run,E:\football_v\07_BACKTEST_SYSTEM\metrics\classification_metrics.py
run,run,E:\football_v\07_BACKTEST_SYSTEM\metrics\probability_metrics.py
run,run,E:\football_v\07_BACKTEST_SYSTEM\tests\backtest_system_test.py
start,start,E:\football_v\08_DECISION_ENGINE\decision_runtime.py
run,run,E:\football_v\08_DECISION_LAYER\service\decision_service.py
execute,execute,E:\football_v\09_AI_ORCHESTRATION_LAYER\orchestration_interface.py
execute,execute,E:\football_v\09_AI_ORCHESTRATION_LAYER\pipeline_controller.py
run,run,E:\football_v\09_AI_ORCHESTRATION_LAYER\workflow_engine.py
run,run,E:\football_v\09_APPLICATION_LAYER\service\football_ai_service.py
run,run,E:\football_v\09_Prediction_System\prediction_pipeline.py
execute,execute,E:\football_v\09_Prediction_System\prediction_service_adapter.py
run,run,E:\football_v\10_AI_AUTONOMOUS_ENGINE\autonomous_engine_v2.py
run,run,E:\football_v\10_AI_AUTONOMOUS_ENGINE\auto_experiment_engine.py
start_evolution,start,E:\football_v\10_AI_AUTONOMOUS_ENGINE\evolution_controller.py
execute,execute,E:\football_v\10_AI_AUTONOMOUS_ENGINE\safe_upgrade_executor.py
run_test,run,E:\football_v\10_AI_AUTONOMOUS_ENGINE\tests\autonomous_engine_hil_v1_0_full_test.py
run,run,E:\football_v\11_AI_ORCHESTRATION_LAYER\orchestrator_core\orchestrator.py
execute,execute,E:\football_v\11_AI_ORCHESTRATION_LAYER\pipeline_manager\pipeline.py
start,start,E:\football_v\11_AI_ORCHESTRATION_LAYER\workflow_engine\workflow.py
run,run,E:\football_v\11_System_Intelligence\agent_manager.py
run,run,E:\football_v\11_System_Intelligence\ai_prediction_os.py
run,run,E:\football_v\11_System_Intelligence\backtest_engine.py
execute,execute,E:\football_v\11_System_Intelligence\decision_api.py
start,start,E:\football_v\11_System_Intelligence\football_ai_runtime.py
run,run,E:\football_v\11_System_Intelligence\intelligence_scheduler.py
run,run,E:\football_v\11_System_Intelligence\learning_scheduler.py
run,run,E:\football_v\11_System_Intelligence\match_simulator.py
run,run,E:\football_v\11_System_Intelligence\parlay_strategy.py
run,run,E:\football_v\11_System_Intelligence\single_strategy.py
test_runtime,run,E:\football_v\11_System_Intelligence\tests\test_phase3_15_runtime.py
test_reasoning_engine,engine,E:\football_v\11_System_Intelligence\tests\test_phase3_3_reasoning.py
test_evolution_engine,engine,E:\football_v\11_System_Intelligence\tests\test_phase3_7_evolution.py
test_controller_execute,execute,E:\football_v\11_System_Intelligence\tests\test_phase3_system_intelligence.py
run,run,E:\football_v\15_API_INTEGRATION_LAYER\api_scheduler\scheduler.py
run,run,E:\football_v\16_DATABASE_GOVERNANCE_LAYER\backup_engine\backup_engine_V1.0.py
run,run,E:\football_v\16_DATABASE_GOVERNANCE_LAYER\database_initializer\database_initializer_V1.0.py
run,run,E:\football_v\16_DATABASE_GOVERNANCE_LAYER\restore_engine\restore_engine_V1.0.py
run,run,E:\football_v\16_DATABASE_GOVERNANCE_LAYER\version_control_engine\version_control_engine_V1.0.py
run,run,E:\football_v\17_MODEL_STORE_LAYER\model_registry\model_registry_V1.0.py
run,run,E:\football_v\23_MODEL_TRAINING_ENGINE\training_pipeline\training_pipeline_V2.0.py
run,run,E:\football_v\24_PREDICTION_INTELLIGENCE_LAYER\prediction_pipeline\prediction_pipeline.py
run,run,E:\football_v\25_BACKTEST_ENGINE\backtest_pipeline\backtest_pipeline_V2.0.py
run,run,E:\football_v\25_BACKTEST_ENGINE\historical_runner\historical_runner_V2.0.py
execute,execute,E:\football_v\26_AUTOMATION_LAYER\prediction_job\prediction_job_V2.0.py
run,run,E:\football_v\26_AUTOMATION_LAYER\scheduler\scheduler_V2.0.py
run,run,E:\football_v\27_MODEL_FUSION_ENGINE\fusion_engine_V2.1.py
run,run,E:\football_v\28_PROBABILITY_CALIBRATION_ENGINE\odds_calibrator.py
start,start,E:\football_v\32_PRODUCTION_ORCHESTRATOR\pipeline_controller.py
run,run,E:\football_v\32_PRODUCTION_ORCHESTRATOR\production_runner.py
run,run,E:\football_v\37_MODEL_INTELLIGENCE_CONNECTOR\dixon_coles_loader.py
run,run,E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\dixon_coles_trainer_V4.0.py
run,run,E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\fusion_trainer_V4.0.py
run,run,E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\poisson_trainer_V4.0.py
run,run,E:\football_v\40_MODEL_TRAINING_PIPELINE\trainer\xgboost_trainer_V4.0.py
run_test,run,E:\football_v\97_TESTS\integration_test\run_integration_test_V1.5.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\capital_detector.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\elo_loader.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\handicap_value.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\market_sentiment.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\match_predictor.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\model_connector.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\poisson_loader.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\risk_detector.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\score_predictor.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\value_calculator.py
run,run,E:\football_v\99_DOCUMENTATION\architecture_cleanup\FINAL_CLEANUP_V3.0\DEPRECATED_ARCHIVE\xgboost_loader.py
run,run,E:\football_v\AI_RUNTIME\runtime.py
